State,Motivated,N_A,School,Working,Recreation,Chores,Systems,Planning,Absorb
2020-04-16,0.2966666666666667,0,11.415555555000001,0.5986111116666667,1.0847222233333333,0,0,0,0
2020-04-17,0.07833333333333334,0,6.835277776666667,0,3.015,0,0,0,0
2020-04-18,0.038055555,0,3.4066666666666667,0,2.30611111,0,0.39,0,0
2020-04-19,0,0,4.110277778333333,1.4366666666666665,0,0,0,0,0
2020-04-20,0.11083333333333334,0,3.6277777783333334,5.815277778333333,1,0,0.36583333333333334,0,0
2020-04-21,0,0,6.2755555549999995,0,4.706111111666667,0,0,0,0
2020-04-22,0.034166666666666665,0,1.9861111116666665,0,0,0,0.6147222216666667,0,0
2020-04-23,0,0,1.1327777783333333,1.485555555,0,0,0.14861111166666666,0,0
2020-04-24,0,0,7.4322222233333335,2.5191666666666666,0,0,0.0375,0,0
2020-04-25,0,0,0.7661111100000001,0.6544444433333334,0,0,0.3672222233333333,0,0
2020-04-26,0,0,2.439444445,0.533055555,0,0,0.39277777999999997,0,0
2020-04-27,0,0,3.4752777766666663,2.6227777783333335,0,0,0,0,0
2020-04-28,0,0,9.281111111666668,0,8.886388888333332,0,0.3380555566666667,0,0
2020-04-29,0.09972222166666667,0,5.42,0,0,0,0,0,0
2020-04-30,0,0,9.198611111666667,0,0,0,0.024722221666666665,0,0
2020-05-01,0,0,6.509444445,0,0,0,0.15861111166666667,0,0
2020-05-02,0,0,2.081666666666667,0.9294444433333333,0.2872222216666667,0,5.55555e-4,0,0
2020-05-03,0,0,0.14333333333333334,0,0,0,0,0,0
2020-05-04,0,0,6.384166668333333,0.9147222216666666,0,0,1.2402777783333332,0,0
2020-05-05,0,0,0.41083333333333333,0,0,0,0,0,0
2020-05-06,0,0,6.2275,0,0,0,0,0,0
2020-05-08,0,0,3.1986111116666667,0,0,0,0,0,0
2020-05-09,0,0,0,5.290277776666667,0,0,0.2658333333333333,0,0
2020-05-10,0,0,0,1.6111111116666665,5.348611111666667,0,0.8005555566666667,0,0
2020-05-11,0,0,0,0,24.326666666666664,0,0.06722222166666666,0,0
2020-05-12,0,0,0,0,34.428055555,0,0,0,0
2020-05-13,0,0,0,0,0,0,0.2780555566666667,0,0
2020-05-16,0,0,0,0,0,0,0.3038888883333334,0,0
2020-05-17,0,0,0,0.9011111116666666,0,0,0.32499999999999996,0,0
2020-05-18,0,0,0,1.9986111100000001,0,0,0.079444445,0,0
2020-05-20,0,0,0,6.473611111666666,0,0,0.381666665,0,0
2020-05-21,0,0,0,2.2800000000000002,0,0,0.45416666666666666,0,0
2020-05-22,0,0,0,2.96111111,0,0,0.42583333333333334,0,0
2020-05-24,0.33249999999999996,0,0,2.7777833333333333e-4,0,0,0.590555555,0,0
2020-05-25,0,0,0,8.815000001666666,0,0,0,0,0
2020-05-26,0,0,0,0.21555555499999998,0,0,0.47861111166666664,0,0
2020-05-27,0,0,0,0,0,0,0.14972222166666665,0,0
2020-05-28,0,0,0,0.15833333333333333,0,0,0.21416666666666667,0,0
2020-05-30,0,0,0,3.018333333333333,0,0,0.2711111116666666,0,0
2020-06-01,0,0,0,0,0,0,0.2577777783333333,0,0
2020-06-02,0.3772222216666667,0,0,3.462777778333333,0,0,0.08333333333333333,0,0
